¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,±‚ø¬(°∆C),«≥º”(m/s),«≥«‚(16πÊ¿ß),Ω¿µµ(%)
101,√·√µ,2012-08-24 22:00,22.3,1.8,360,83
101,√·√µ,2012-08-24 23:00,22,.8,50,88
101,√·√µ,2012-08-25 00:00,21.6,1.5,50,88
101,√·√µ,2012-08-25 01:00,21.4,.1,0,92
101,√·√µ,2012-08-25 02:00,21.2,1,340,93
101,√·√µ,2012-08-25 03:00,21,1.7,360,96
101,√·√µ,2012-08-25 04:00,20.9,2.5,340,94
101,√·√µ,2012-08-25 05:00,20.7,.5,20,95
101,√·√µ,2012-08-25 06:00,20.5,.7,360,98
101,√·√µ,2012-08-25 07:00,20.4,1,360,98
101,√·√µ,2012-08-25 08:00,20.7,1.9,340,96
101,√·√µ,2012-08-25 09:00,21.3,.5,70,95
101,√·√µ,2012-08-25 10:00,21.8,.3,0,93
101,√·√µ,2012-08-25 11:00,22.2,1.1,20,93
101,√·√µ,2012-08-25 12:00,22.7,1.1,290,92
101,√·√µ,2012-08-25 13:00,23.8,.8,270,88
101,√·√µ,2012-08-25 14:00,25.1,1.2,290,83
101,√·√µ,2012-08-25 15:00,26.3,.7,320,75
101,√·√µ,2012-08-25 16:00,26.9,1,340,81
101,√·√µ,2012-08-25 17:00,27.5,1.2,340,76
101,√·√µ,2012-08-25 18:00,26.7,.7,360,86
101,√·√µ,2012-08-25 19:00,26.2,.4,0,90
101,√·√µ,2012-08-25 20:00,25.1,.9,20,94
101,√·√µ,2012-08-25 21:00,24.6,.2,0,95
