일자|시간|구분,공급량
2019-01-08 21 A,2356.76652354296
2019-01-08 22 A,2242.2988515774477
2019-01-08 23 A,2188.3765177632617
2019-01-08 24 A,2053.1713925076374
2019-01-09 01 A,1791.8484097781209
2019-01-09 02 A,1539.659802762797
2019-01-09 03 A,1467.3481751449337
2019-01-09 04 A,1524.7981207725743
2019-01-09 05 A,1741.8413135056394
2019-01-09 06 A,1891.5608939549174
2019-01-09 07 A,2152.132716486527
2019-01-09 08 A,2663.6397921963776
2019-01-09 09 A,2770.6306423641668
2019-01-09 10 A,2673.2615124147433
2019-01-09 11 A,2625.7679493638484
2019-01-09 12 A,2392.260023242158
2019-01-09 13 A,2220.3064165282617
2019-01-09 14 A,2099.044192222558
2019-01-09 15 A,1976.2906518972227
2019-01-09 16 A,1954.065385584014
2019-01-09 17 A,2000.9731181658872
2019-01-09 18 A,2238.830052335966
2019-01-09 19 A,2533.028053151205
2019-01-09 20 A,2591.905065361139
2019-01-09 21 A,2550.2926666553776
2019-01-09 22 A,2518.9498757652023
2019-01-09 23 A,2331.5224960498554
2019-01-09 24 A,2204.8168345686704
2019-01-10 01 A,1908.9899222526958
2019-01-10 02 A,1695.8101734012523
2019-01-10 03 A,1608.434846026576
2019-01-10 04 A,1631.9752636748467
2019-01-10 05 A,1778.0413830634398
2019-01-10 06 A,1942.290647718931
2019-01-10 07 A,2218.2594304544564
2019-01-10 08 A,2728.549167906451
2019-01-10 09 A,2844.8368754065636
2019-01-10 10 A,2688.819214405492
2019-01-10 11 A,2576.9958023442964
2019-01-10 12 A,2344.365023780367
2019-01-10 13 A,2138.008193732728
2019-01-10 14 A,2079.669320923978
2019-01-10 15 A,1996.326077155965
2019-01-10 16 A,1974.1008108427563
2019-01-10 17 A,1993.3003494894829
2019-01-10 18 A,2225.9971285594766
2019-01-10 19 A,2544.0153252384325
2019-01-10 20 A,2606.405446042096
2019-01-10 21 A,2564.793047336335
2019-01-10 22 A,2533.45025644616
2019-01-10 23 A,2377.1091659078943
2019-01-10 24 A,2252.5607750828476
2019-01-11 01 A,1931.3355399458217
2019-01-11 02 A,1718.1557910943782
2019-01-11 03 A,1630.7804637197019
2019-01-11 04 A,1654.3208813679726
2019-01-11 05 A,1792.4416282848633
2019-01-11 06 A,1942.1612087341416
2019-01-11 07 A,2232.6596756758804
2019-01-11 08 A,2742.9494131278752
2019-01-11 09 A,2859.2371206279877
2019-01-11 10 A,2752.571133346241
2019-01-11 11 A,2655.725896576021
2019-01-11 12 A,2432.0921815779075
2019-01-11 13 A,2260.1385748640114
2019-01-11 14 A,2097.3996109283175
2019-01-11 15 A,2020.600533500966
2019-01-11 16 A,1998.3752671877573
2019-01-11 17 A,2017.6534746397904
2019-01-11 18 A,2238.129047589548
2019-01-11 19 A,2559.3628188107937
2019-01-11 20 A,2576.5329063681393
2019-01-11 21 A,2512.090165194945
2019-01-11 22 A,2486.186137331638
2019-01-11 23 A,2336.3427599419256
2019-01-11 24 A,2220.009771633082
2019-01-12 01 A,1968.3560645678012
2019-01-12 02 A,1755.1763157163577
2019-01-12 03 A,1689.1107244745347
2019-01-12 04 A,1692.008774555754
2019-01-12 05 A,1797.1063569998248
2019-01-12 06 A,1849.10618030927
2019-01-12 07 A,2004.4820047929377
2019-01-12 08 A,2343.182133966963
2019-01-12 09 A,2468.781160945512
2019-01-12 10 A,2522.4939046245704
2019-01-12 11 A,2424.3457544235007
2019-01-12 12 A,2251.778691729374
2019-01-12 13 A,2128.4271657453883
2019-01-12 14 A,2032.2848829414734
2019-01-12 15 A,1866.6220914726532
2019-01-12 16 A,1845.278547167836
2019-01-12 17 A,1864.556754619869
2019-01-12 18 A,2154.152589066584
2019-01-12 19 A,2432.15288391061
2019-01-12 20 A,2477.5626484765507
2019-01-12 21 A,2431.794743406481
2019-01-12 22 A,2371.9726831221715
2019-01-12 23 A,2242.076684116862
2019-01-12 24 A,2223.7271704521
2019-01-13 01 A,1911.915035960076
2019-01-13 02 A,1736.730080178107
2019-01-13 03 A,1684.57119997454
2019-01-13 04 A,1684.57119997454
2019-01-13 05 A,1763.3897407366373
2019-01-13 06 A,1818.1438844762001
2019-01-13 07 A,1924.4803316768955
2019-01-13 08 A,2217.9343716780663
2019-01-13 09 A,2364.8929251387563
2019-01-13 10 A,2429.864652904705
2019-01-13 11 A,2358.6250987145568
2019-01-13 12 A,2227.1609228181333
2019-01-13 13 A,2087.313404529349
2019-01-13 14 A,1965.4809018920755
2019-01-13 15 A,1844.509016579684
2019-01-13 16 A,1824.8894689797824
2019-01-13 17 A,1847.1689762703875
2019-01-13 18 A,2138.921533424028
2019-01-13 19 A,2374.7667527152616
2019-01-13 20 A,2434.2038983639504
2019-01-13 21 A,2342.343689169561
2019-01-13 22 A,2266.5061882952236
2019-01-13 23 A,2209.1803621345816
2019-01-13 24 A,2134.5129261416505
2019-01-14 01 A,1902.4048180696025
2019-01-14 02 A,1701.8294826600197
2019-01-14 03 A,1702.2041829256573
2019-01-14 04 A,1702.2041829256573
2019-01-14 05 A,1875.9013853855258
2019-01-14 06 A,2036.4868760897662
2019-01-14 07 A,2328.5593961802933
2019-01-14 08 A,2816.990613305414
2019-01-14 09 A,2874.6297897538784
2019-01-14 10 A,2826.61233352378
2019-01-14 11 A,2684.745976516275
2019-01-14 12 A,2484.8390202544892
2019-01-14 13 A,2272.8151996371307
2019-01-14 14 A,2125.7680093575796
2019-01-14 15 A,2042.4247655895638
2019-01-14 16 A,1987.3159150039078
2019-01-14 17 A,2042.876950573771
2019-01-14 18 A,2228.2990104964692
2019-01-14 19 A,2597.8686454823874
2019-01-14 20 A,2617.5930887660707
2019-01-14 21 A,2528.4250393016196
2019-01-14 22 A,2412.1087951596455
2019-01-14 23 A,2358.1864613454595
2019-01-14 24 A,2175.2966301059646
2019-01-15 01 A,1851.9959829687566
2019-01-15 02 A,1624.5824610243549
2019-01-15 03 A,1559.7647272715774
2019-01-15 04 A,1562.6627773527966
2019-01-15 05 A,1771.7091990166282
2019-01-15 06 A,1951.0651611418243
2019-01-15 07 A,2167.9386498884287
2019-01-15 08 A,2692.4871950831116
2019-01-15 09 A,2780.1693164778853
2019-01-15 10 A,2671.561714190594
2019-01-15 11 A,2541.5685170464685
2019-01-15 12 A,2370.408452125331
2019-01-15 13 A,2167.425458542475
2019-01-15 14 A,2065.4476306897527
2019-01-15 15 A,1902.408875551346
2019-01-15 16 A,1849.2617401090117
2019-01-15 17 A,1847.1803574503094
2019-01-15 18 A,2092.3913529496976
2019-01-15 19 A,2508.181415314106
2019-01-15 20 A,2537.834611779085
2019-01-15 21 A,2508.60882002273
2019-01-15 22 A,2407.960414494432
2019-01-15 23 A,2311.766331682544
2019-01-15 24 A,2181.5312791666915
2019-01-16 01 A,1884.539891226319
2019-01-16 02 A,1638.4587719288556
2019-01-16 03 A,1584.2812783708396
2019-01-16 04 A,1585.334008069231
2019-01-16 05 A,1743.7060223133103
2019-01-16 06 A,1886.5759921644922
2019-01-16 07 A,2125.866006705039
2019-01-16 08 A,2593.824159097936
2019-01-16 09 A,2651.4633355464002
2019-01-16 10 A,2552.690725112547
2019-01-16 11 A,2529.818718851502
2019-01-16 12 A,2332.1527052263064
2019-01-16 13 A,2232.8529510724857
2019-01-16 14 A,2097.9915389473153
2019-01-16 15 A,1996.91336308691
2019-01-16 16 A,1908.685294727213
2019-01-16 17 A,1993.8876354204278
2019-01-16 18 A,2171.8244878651367
2019-01-16 19 A,2504.3638266485314
2019-01-16 20 A,2570.3785200366483
2019-01-16 21 A,2478.3820413666904
2019-01-16 22 A,2440.5043227519946
2019-01-16 23 A,2321.9112094867314
2019-01-16 24 A,2194.9883622187845
2019-01-17 01 A,1883.4904223583944
2019-01-17 02 A,1640.574246795103
2019-01-17 03 A,1584.551432854259
2019-01-17 04 A,1597.3221604766063
2019-01-17 05 A,1806.3685821404379
2019-01-17 06 A,1970.660844508821
2019-01-17 07 A,2202.598033012239
2019-01-17 08 A,2727.1465782069217
2019-01-17 09 A,2784.785754655386
2019-01-17 10 A,2706.2210973144042
2019-01-17 11 A,2606.331102178916
2019-01-17 12 A,2405.0678352491414
2019-01-17 13 A,2238.4463385894223
2019-01-17 14 A,2117.224786671449
2019-01-17 15 A,1999.0288379531573
2019-01-17 16 A,1910.8007695934602
2019-01-17 17 A,1930.0003082401868
2019-01-17 18 A,2173.939962731384
2019-01-17 19 A,2569.757341692595
2019-01-17 20 A,2572.493994902896
2019-01-17 21 A,2543.2682031465406
2019-01-17 22 A,2444.919606106994
2019-01-17 23 A,2346.4257148063543
2019-01-17 24 A,2216.1906622905017
2019-01-18 01 A,1866.4166497691135
2019-01-18 02 A,1620.3355304716501
2019-01-18 03 A,1545.6451191777446
2019-01-18 04 A,1548.5431692589639
2019-01-18 05 A,1750.3482712055768
2019-01-18 06 A,1914.5372885550883
2019-01-18 07 A,2144.448371307695
2019-01-18 08 A,2684.0606162591907
2019-01-18 09 A,2741.699792707655
2019-01-18 10 A,2663.1351353666732
2019-01-18 11 A,2563.245140231185
2019-01-18 12 A,2377.36515190083
2019-01-18 13 A,2270.236631189011
2019-01-18 14 A,2168.2467755217517
2019-01-18 15 A,2039.8461971414458
2019-01-18 16 A,2017.620930828237
2019-01-18 17 A,2036.89913828027
2019-01-18 18 A,2320.71798146617
2019-01-18 19 A,2609.2256772592486
2019-01-18 20 A,2648.7801878369305
2019-01-18 21 A,2557.863462588414
2019-01-18 22 A,2459.300013507641
2019-01-18 23 A,2370.1305141001703
2019-01-18 24 A,2229.837656660688
2019-01-19 01 A,1942.221366498512
2019-01-19 02 A,1685.0827771824793
2019-01-19 03 A,1619.0171859406562
2019-01-19 04 A,1676.4671315682967
2019-01-19 05 A,1783.0679604981863
2019-01-19 06 A,1907.1021784618943
2019-01-19 07 A,2041.8356353785107
2019-01-19 08 A,2381.753102810392
2019-01-19 09 A,2507.352129788941
2019-01-19 10 A,2562.3450598182917
2019-01-19 11 A,2383.175053342943
2019-01-19 12 A,2266.4883228341278
2019-01-19 13 A,2117.223669306
2019-01-19 14 A,2000.5159390832137
2019-01-19 15 A,1926.5927557901482
2019-01-19 16 A,1851.1146164432773
2019-01-19 17 A,1921.0495062866746
2019-01-19 18 A,2157.7387759613925
2019-01-19 19 A,2429.1995563084615
2019-01-19 20 A,2488.6367019571503
2019-01-19 21 A,2382.051906793697
2019-01-19 22 A,2273.432654975056
2019-01-19 23 A,2192.9780553299647
2019-01-19 24 A,2080.297036766151
2019-01-20 01 A,1885.7803378907868
2019-01-20 02 A,1645.9941740771771
2019-01-20 03 A,1593.83529387361
2019-01-20 04 A,1648.3871894200313
2019-01-20 05 A,1757.8396206745472
2019-01-20 06 A,1839.6715502757852
2019-01-20 07 A,1932.969231896435
2019-01-20 08 A,2236.8572510767726
2019-01-20 09 A,2328.742731076039
2019-01-20 10 A,2369.9730405585356
2019-01-20 11 A,2290.290413207257
2019-01-20 12 A,2202.5819141270917
2019-01-20 13 A,2060.3368682240102
2019-01-20 14 A,1943.3387776493294
2019-01-20 15 A,1901.0017682464895
2019-01-20 16 A,1884.8601332972773
2019-01-20 17 A,1853.0050455458288
2019-01-20 18 A,2107.1525895657696
2019-01-20 19 A,2418.027490737135
2019-01-20 20 A,2432.023764218865
2019-01-20 21 A,2335.877252973683
2019-01-20 22 A,2263.0561203808466
2019-01-20 23 A,2182.833933292111
2019-01-20 24 A,2066.597569863141
2019-01-21 01 A,1888.4444737534072
2019-01-21 02 A,1650.245167659411
2019-01-21 03 A,1609.2193637632042
2019-01-21 04 A,1624.2830635200173
2019-01-21 05 A,1816.1473203393352
2019-01-21 06 A,2027.6903341496522
2019-01-21 07 A,2344.077095465715
2019-01-21 08 A,2835.525159834766
2019-01-21 09 A,2893.16433628323
2019-01-21 10 A,2780.817031042831
2019-01-21 11 A,2648.9280554809375
2019-01-21 12 A,2467.6829860722514
2019-01-21 13 A,2321.480370432175
2019-01-21 14 A,2174.4331801526237
2019-01-21 15 A,2091.0899363846097
2019-01-21 16 A,2068.864670071401
2019-01-21 17 A,2088.0642087181272
2019-01-21 18 A,2276.9641812915133
2019-01-21 19 A,2646.5338162774315
2019-01-21 20 A,2653.892699699397
2019-01-21 21 A,2577.0902100966637
2019-01-21 22 A,2472.995172074926
2019-01-21 23 A,2406.8516321405036
2019-01-21 24 A,2271.6465068848793
2019-01-22 01 A,1919.3287511168623
2019-01-22 02 A,1687.7778682829976
2019-01-22 03 A,1636.8380263440165
2019-01-22 04 A,1639.7360764252358
2019-01-22 05 A,1835.4380695684854
2019-01-22 06 A,2036.1151731238401
2019-01-22 07 A,2258.9517191531813
2019-01-22 08 A,2802.2816000015464
2019-01-22 09 A,2859.9207764500106
2019-01-22 10 A,2750.7740860965214
2019-01-22 11 A,2628.721588361349
2019-01-22 12 A,2424.582690396218
2019-01-22 13 A,2294.031548222259
2019-01-22 14 A,2170.406979404848
2019-01-22 15 A,2087.063735636834
2019-01-22 16 A,2068.3163819743145
2019-01-22 17 A,2084.0380079703514
2019-01-22 18 A,2273.6394662096072
2019-01-22 19 A,2646.5338162774315
2019-01-22 20 A,2668.1068317375766
2019-01-22 21 A,2589.3114162169
2019-01-22 22 A,2500.328476532372
2019-01-22 23 A,2454.5363381243747
2019-01-22 24 A,2312.5958234428686
2019-01-23 01 A,2011.4793425483517
2019-01-23 02 A,1793.8289490219272
2019-01-23 03 A,1778.4880163015137
2019-01-23 04 A,1781.386066382733
2019-01-23 05 A,1943.85730540972
2019-01-23 06 A,2114.2192534260507
2019-01-23 07 A,2404.7177203677884
2019-01-23 08 A,2973.6559888714314
2019-01-23 09 A,3031.2951653198957
2019-01-23 10 A,2983.277709089797
2019-01-23 11 A,2857.9145655336215
2019-01-23 12 A,2654.866161203431
2019-01-23 13 A,2532.153202359024
2019-01-23 14 A,2421.1552592133153
2019-01-23 15 A,2325.8106228731986
2019-01-23 16 A,2303.58535655999
2019-01-23 17 A,2322.784895206716
2019-01-23 18 A,2496.402215192879
2019-01-23 19 A,2829.9917755941683
2019-01-23 20 A,2862.771373750779
2019-01-23 21 A,2844.120884720459
2019-01-23 22 A,2809.2258303145086
2019-01-23 23 A,2653.807355767647
2019-01-23 24 A,2564.915476789554
2019-01-24 01 A,2171.6490610257924
2019-01-24 02 A,2004.1363563794437
2019-01-24 03 A,1916.7610290047674
2019-01-24 04 A,1919.6590790859866
2019-01-24 05 A,2082.1303181129742
2019-01-24 06 A,2219.956385171588
2019-01-24 07 A,2452.1232929497496
2019-01-24 08 A,3002.0387585959625
2019-01-24 09 A,3059.6779350444267
2019-01-24 10 A,3011.660478814328
2019-01-24 11 A,2886.2973352581525
2019-01-24 12 A,2683.248930927962
2019-01-24 13 A,2560.535972083555
2019-01-24 14 A,2362.7044166714218
2019-01-24 15 A,2299.589762443017
2019-01-24 16 A,2250.0311916723626
2019-01-24 17 A,2296.5640347765348
2019-01-24 18 A,2496.771448177604
2019-01-24 19 A,2817.0066059838396
2019-01-24 20 A,2861.1111985290004
2019-01-24 21 A,2839.26009461177
2019-01-24 22 A,2837.6086000390396
2019-01-24 23 A,2682.190125492178
2019-01-24 24 A,2524.3981748339115
2019-01-25 01 A,2146.2074808158
2019-01-25 02 A,1978.6947761694512
2019-01-25 03 A,1891.3194487947749
2019-01-25 04 A,1894.2174988759941
2019-01-25 05 A,2067.613593361007
2019-01-25 06 A,2205.439660419621
2019-01-25 07 A,2437.6065681977816
2019-01-25 08 A,2953.749932761692
2019-01-25 09 A,3011.389109210156
2019-01-25 10 A,2963.3716529800577
2019-01-25 11 A,2838.008509423882
2019-01-25 12 A,2642.1002510767466
2019-01-25 13 A,2519.3872922323394
2019-01-25 14 A,2321.555736820206
2019-01-25 15 A,2288.5442846004385
2019-01-25 16 A,2236.215816278593
2019-01-25 17 A,2255.4940237306255
2019-01-25 18 A,2480.20186527777
2019-01-25 19 A,2769.665028500507
2019-01-25 20 A,2811.0329678353664
2019-01-25 21 A,2765.2360807495447
2019-01-25 22 A,2731.207673384598
2019-01-25 23 A,2609.820937647596
2019-01-25 24 A,2462.401660161671
2019-01-26 01 A,2103.897498307418
2019-01-26 02 A,1847.1369182493984
2019-01-26 03 A,1781.0713270075753
2019-01-26 04 A,1873.217252500466
2019-01-26 05 A,1998.151323029886
2019-01-26 06 A,2023.7279487424523
2019-01-26 07 A,2114.659530701709
2019-01-26 08 A,2426.517164321035
2019-01-26 09 A,2601.97433281401
2019-01-26 10 A,2625.2539642878382
2019-01-26 11 A,2580.607030753788
2019-01-26 12 A,2475.6381028068704
2019-01-26 13 A,2345.7189750707257
2019-01-26 14 A,2166.27722479293
2019-01-26 15 A,2027.5894146845167
2019-01-26 16 A,1981.150508457811
2019-01-26 17 A,2005.963760487628
2019-01-26 18 A,2207.2978994092796
2019-01-26 19 A,2488.0233257735613
2019-01-26 20 A,2491.5453679875573
2019-01-26 21 A,2434.884578776341
2019-01-26 22 A,2410.3463489536643
2019-01-26 23 A,2254.789612007431
2019-01-26 24 A,2175.1011802951334
2019-01-27 01 A,1749.488318252547
2019-01-27 02 A,1523.0766954223218
2019-01-27 03 A,1542.9522098730174
2019-01-27 04 A,1542.9522098730174
2019-01-27 05 A,1626.9742587193941
2019-01-27 06 A,1681.728402458957
2019-01-27 07 A,1807.0876525170825
2019-01-27 08 A,2126.121010451311
2019-01-27 09 A,2322.937705426427
2019-01-27 10 A,2357.4763209871458
2019-01-27 11 A,2295.4275331176414
2019-01-27 12 A,2129.98017754975
2019-01-27 13 A,1980.3166912148274
2019-01-27 14 A,1877.3742574981104
2019-01-27 15 A,1819.0366113013915
2019-01-27 16 A,1718.285726840146
2019-01-27 17 A,1740.5652341307512
2019-01-27 18 A,2029.2304305213104
2019-01-27 19 A,2309.2826624392715
2019-01-27 20 A,2298.2230977976224
2019-01-27 21 A,2252.7737859617396
2019-01-27 22 A,2228.2355561390627
2019-01-27 23 A,2087.183229005982
2019-01-27 24 A,2020.6708213022496
2019-01-28 01 A,1828.607996261775
2019-01-28 02 A,1627.9830698409787
2019-01-28 03 A,1586.957265944772
2019-01-28 04 A,1586.957265944772
2019-01-28 05 A,1743.7646704755607
2019-01-28 06 A,1924.9925287468527
2019-01-28 07 A,2226.349325680457
2019-01-28 08 A,2734.2055721147735
2019-01-28 09 A,2742.493074843913
2019-01-28 10 A,2694.4756186138143
2019-01-28 11 A,2522.062060495426
2019-01-28 12 A,2319.4269053853704
2019-01-28 13 A,2175.080696379549
2019-01-28 14 A,2049.320600231175
2019-01-28 15 A,1926.8009514009962
2019-01-28 16 A,1904.5756850877874
2019-01-28 17 A,1923.775223734514
2019-01-28 18 A,2148.764240606983
2019-01-28 19 A,2494.463454231221
2019-01-28 20 A,2519.4390561785144
2019-01-28 21 A,2442.636566575781
2019-01-28 22 A,2338.5415285540435
2019-01-28 23 A,2254.4337904571375
2019-01-28 24 A,2101.6471612262794
2019-01-29 01 A,1770.0409488984471
2019-01-29 02 A,1538.4900660645824
2019-01-29 03 A,1459.1420958482063
2019-01-29 04 A,1462.0401459294255
2019-01-29 05 A,1654.1967696641773
2019-01-29 06 A,1805.4514380265582
2019-01-29 07 A,2022.324926773162
2019-01-29 08 A,2490.491673900279
2019-01-29 09 A,2548.130850348743
2019-01-29 10 A,2486.103835343502
2019-01-29 11 A,2418.8263754983363
2019-01-29 12 A,2227.9022677878806
2019-01-29 13 A,2151.0068906367414
2019-01-29 14 A,2040.2951959219245
2019-01-29 15 A,1915.8064264139173
2019-01-29 16 A,1893.5811601007085
2019-01-29 17 A,1912.780698747435
2019-01-29 18 A,2134.1475011738867
2019-01-29 19 A,2406.9094340589963
2019-01-29 20 A,2446.0075841924345
2019-01-29 21 A,2380.9276487771563
2019-01-29 22 A,2261.3940394541683
2019-01-29 23 A,2135.1351240687695
2019-01-29 24 A,2024.5699694720486
2019-01-30 01 A,1712.1580768172967
2019-01-30 02 A,1494.9851984366178
2019-01-30 03 A,1468.1727591099382
2019-01-30 04 A,1471.0708091911574
2019-01-30 05 A,1618.2118698255263
2019-01-30 06 A,1761.0818396767081
2019-01-30 07 A,2000.371854217254
2019-01-30 08 A,2441.5358611095135
2019-01-30 09 A,2529.278239566615
2019-01-30 10 A,2439.187066100811
2019-01-30 11 A,2402.0128082642827
2019-01-30 12 A,2223.9997180216815
2019-01-30 13 A,2150.5822535212315
2019-01-30 14 A,2030.0998253660093
2019-01-30 15 A,1911.9038766477179
2019-01-30 16 A,1889.6786103345091
